1,1,25,226802,7,40, Private, 11th, Never-married, Black, Male, <=50K
2,2,38,89814,9,50, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
3,3,28,336951,12,40, Local-gov, Assoc-acdm, Married-civ-spouse, White, Male, >50K
4,4,44,160323,10,40, Private, Some-college, Married-civ-spouse, Black, Male, >50K
6,6,34,198693,6,30, Private, 10th, Never-married, White, Male, <=50K
8,8,63,104626,15,32, Self-emp-not-inc, Prof-school, Married-civ-spouse, White, Male, >50K
9,9,24,369667,10,40, Private, Some-college, Never-married, White, Female, <=50K
10,10,55,104996,4,10, Private, 7th-8th, Married-civ-spouse, White, Male, <=50K
11,11,65,184454,9,40, Private, HS-grad, Married-civ-spouse, White, Male, >50K
12,12,36,212465,13,40, Federal-gov, Bachelors, Married-civ-spouse, White, Male, <=50K
13,13,26,82091,9,39, Private, HS-grad, Never-married, White, Female, <=50K
15,15,48,279724,9,48, Private, HS-grad, Married-civ-spouse, White, Male, >50K
16,16,43,346189,14,50, Private, Masters, Married-civ-spouse, White, Male, >50K
17,17,20,444554,10,25, State-gov, Some-college, Never-married, White, Male, <=50K
18,18,43,128354,9,30, Private, HS-grad, Married-civ-spouse, White, Female, <=50K
19,19,37,60548,9,20, Private, HS-grad, Widowed, White, Female, <=50K
20,20,40,85019,16,45, Private, Doctorate, Married-civ-spouse, Asian-Pac-Islander, Male, >50K
21,21,34,107914,13,47, Private, Bachelors, Married-civ-spouse, White, Male, >50K
22,22,34,238588,10,35, Private, Some-college, Never-married, Black, Female, <=50K
24,24,25,220931,13,43, Private, Bachelors, Never-married, White, Male, <=50K
25,25,25,205947,13,40, Private, Bachelors, Married-civ-spouse, White, Male, <=50K
26,26,45,432824,9,90, Self-emp-not-inc, HS-grad, Married-civ-spouse, White, Male, >50K
27,27,22,236427,9,20, Private, HS-grad, Never-married, White, Male, <=50K
28,28,23,134446,9,54, Private, HS-grad, Separated, Black, Male, <=50K
29,29,54,99516,9,35, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
30,30,32,109282,10,60, Self-emp-not-inc, Some-college, Never-married, White, Male, <=50K
31,31,46,106444,10,38, State-gov, Some-college, Married-civ-spouse, Black, Male, >50K
32,32,56,186651,7,50, Self-emp-not-inc, 11th, Widowed, White, Female, <=50K
33,33,24,188274,13,50, Self-emp-not-inc, Bachelors, Never-married, White, Male, <=50K
34,34,23,258120,10,40, Local-gov, Some-college, Married-civ-spouse, White, Male, <=50K
35,35,26,43311,9,40, Private, HS-grad, Divorced, White, Female, <=50K
37,37,36,403681,13,40, Local-gov, Bachelors, Married-civ-spouse, White, Male, >50K
38,38,22,248446,3,50, Private, 5th-6th, Never-married, White, Male, <=50K
39,39,17,269430,6,40, Private, 10th, Never-married, White, Male, <=50K
40,40,20,257509,9,40, Private, HS-grad, Never-married, White, Male, <=50K
41,41,65,136384,14,50, Private, Masters, Married-civ-spouse, White, Male, >50K
42,42,44,120277,11,45, Self-emp-inc, Assoc-voc, Married-civ-spouse, White, Male, >50K
43,43,36,465326,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
44,44,29,103634,7,40, Private, 11th, Married-civ-spouse, White, Male, <=50K
45,45,20,138371,10,32, State-gov, Some-college, Never-married, White, Male, <=50K
46,46,28,242832,11,36, Private, Assoc-voc, Married-civ-spouse, White, Female, >50K
47,47,39,290208,4,40, Private, 7th-8th, Married-civ-spouse, White, Male, <=50K
48,48,54,186272,10,50, Private, Some-college, Married-civ-spouse, White, Male, <=50K
49,49,52,201062,7,18, Private, 11th, Separated, Black, Female, <=50K
50,50,56,131916,9,50, Self-emp-inc, HS-grad, Widowed, White, Female, <=50K
51,51,18,54440,10,20, Private, Some-college, Never-married, White, Male, <=50K
52,52,39,280215,9,40, Private, HS-grad, Divorced, Black, Male, <=50K
53,53,21,214399,10,24, Private, Some-college, Never-married, White, Female, <=50K
54,54,22,54164,9,60, Private, HS-grad, Never-married, White, Male, >50K
55,55,38,219446,5,54, Private, 9th, Married-spouse-absent, White, Male, <=50K
56,56,21,110677,10,40, Private, Some-college, Never-married, White, Female, <=50K
57,57,63,145985,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
58,58,34,382078,13,50, Local-gov, Bachelors, Married-civ-spouse, White, Male, >50K
59,59,42,170721,9,50, Self-emp-inc, HS-grad, Married-civ-spouse, White, Male, >50K
60,60,33,269705,9,40, Private, HS-grad, Married-civ-spouse, White, Male, <=50K
61,61,30,101135,13,50, Private, Bachelors, Never-married, White, Female, <=50K
62,62,39,118429,10,40, Private, Some-college, Divorced, White, Male, <=50K
63,63,26,31208,14,40, Private, Masters, Never-married, White, Female, <=50K
64,64,33,281384,9,40, Private, HS-grad, Never-married, White, Female, <=50K
65,65,47,171807,9,40, Local-gov, HS-grad, Divorced, White, Female, <=50K
66,66,41,109912,13,40, Private, Bachelors, Never-married, White, Female, <=50K
